Id,X,Y,Z,dX,dY,dZ,Geological Model B
2752,873485,27913280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2753,874485,27913280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2754,875485,27913280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2755,876485,27913280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2756,877485,27913280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2757,878485,27913280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2758,879485,27913280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2759,880485,27913280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2760,881485,27913280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2761,882485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2762,883485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2763,884485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2764,885485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2765,886485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2766,887485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2767,888485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2768,889485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2769,890485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2770,891485,27913280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2771,892485,27913280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2772,893485,27913280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2773,894485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2774,895485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2775,896485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2776,897485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2777,898485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2778,899485,27913280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2779,900485,27913280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2780,901485,27913280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2781,902485,27913280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2784,873485,27914280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2785,874485,27914280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2786,875485,27914280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2787,876485,27914280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2788,877485,27914280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2789,878485,27914280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2790,879485,27914280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2791,880485,27914280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2792,881485,27914280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2793,882485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2794,883485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2795,884485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2796,885485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2797,886485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2798,887485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2799,888485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2800,889485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2801,890485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2802,891485,27914280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2803,892485,27914280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2804,893485,27914280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2805,894485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2806,895485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2807,896485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2808,897485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2809,898485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2810,899485,27914280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2811,900485,27914280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2812,901485,27914280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2813,902485,27914280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2816,873485,27915280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2817,874485,27915280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2818,875485,27915280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2819,876485,27915280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2820,877485,27915280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2821,878485,27915280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2822,879485,27915280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2823,880485,27915280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2824,881485,27915280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2825,882485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2826,883485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2827,884485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2828,885485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2829,886485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2830,887485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2831,888485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2832,889485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2833,890485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2834,891485,27915280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2835,892485,27915280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2836,893485,27915280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2837,894485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2838,895485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2839,896485,27915280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
