1_x,
Time,Acceleration
TIME,ACCEL
0,0
0.005,-2.90E-05
0.01,-9.81E-05
0.015,-1.09E-04
0.02,4.38E-05
0.025,5.73E-04
0.03,0.001465114
0.035,0.002843929
0.04,0.004560583
0.045,0.007065789
0.05,0.010423488
0.055,0.014880611
0.06,0.020359586
0.065,0.027113426
0.07,0.034353676
0.075,0.042373554
0.08,0.051867372
0.085,0.062147683
0.09,0.072736904
0.095,0.083785076
0.1,0.094583178
0.105,0.105284194
0.11,0.115071231
0.115,0.129987146
0.12,0.148305968
0.125,0.165673545
0.13,0.181354378
0.135,0.191425808
0.14,0.19812375
0.145,0.19806491
0.15,0.192739899
0.155,0.167860428
0.16,0.139126944
0.165,0.099243298
0.17,0.055214381
0.175,0.002724876
0.18,-0.053025537
0.185,-0.120798315
0.19,-0.192612413
0.195,-0.287030839
0.2,-0.385489605
0.205,-0.494235547
0.21,-0.60288352
0.215,-0.71178627
0.22,-0.815589661
0.225,-0.911881157
0.23,-1.001749298
0.235,-1.086772953
0.24,-1.16699135
0.245,-1.225242851
0.25,-1.283298219
0.255,-1.31242397
0.26,-1.333508267
0.265,-1.314973699
0.27,-1.279179426
0.275,-1.208277347
0.28,-1.130216413
0.285,-1.014399876
0.29,-0.886903619
0.295,-0.731703576
0.3,-0.573296759
0.305,-0.421725177
0.31,-0.270192821
0.315,-0.116993335
0.32,0.038259664
0.325,0.194103023
0.33,0.363640389
0.335,0.530265179
0.34,0.703077965
0.345,0.859366546
0.35,1.017832204
0.355,1.133158408
0.36,1.24152189
0.365,1.318896359
0.37,1.400095421
0.375,1.440498819
0.38,1.484138411
0.385,1.490022401
0.39,1.528660602
0.395,1.489532069
0.4,1.446873141
0.405,1.363026284
0.41,1.279963958
0.415,1.171992742
0.42,1.069022917
0.425,0.955638429
0.43,0.845705883
0.435,0.731095564
0.44,0.644689171
0.445,0.559538029
0.45,0.456342651
0.455,0.387382288
0.46,0.304633776
0.465,0.257306883
0.47,0.191955367
0.475,0.167321062
0.48,0.110766112
0.485,0.098144953
0.49,0.102322586
0.495,0.149629866
0.5,0.185365298
0.505,0.266525134
0.51,0.342536478
0.515,0.442936961
0.52,0.53321698
0.525,0.625850596
0.53,0.666577614
0.535,0.703048545
0.54,0.755680836
0.545,0.780805473
0.55,0.831623533
0.555,0.840567198
0.56,0.886364254
0.565,0.883177092
0.57,0.897896874
0.575,0.854119988
0.58,0.846863067
0.585,0.783178682
0.59,0.742471278
0.595,0.638363882
0.6,0.541846832
0.605,0.383802861
0.61,0.225415657
0.615,0.040221975
0.62,-0.148237321
0.625,-0.349469779
0.63,-0.573453665
0.635,-0.788297754
0.64,-1.016459273
0.645,-1.207492815
0.65,-1.416570593
0.655,-1.587108236
0.66,-1.778730177
0.665,-1.911512218
0.67,-2.081853729
0.675,-2.18296029
0.68,-2.328981309
0.685,-2.414299164
0.69,-2.527958237
0.695,-2.572578495
0.7,-2.633281658
0.705,-2.633575858
0.71,-2.637890784
0.715,-2.593662792
0.72,-2.544531476
0.725,-2.466862808
0.73,-2.408120974
0.735,-2.335551764
0.74,-2.235033602
0.745,-2.121472595
0.75,-1.976236108
0.755,-1.842571469
0.76,-1.676741017
0.765,-1.532387129
0.77,-1.369498673
0.775,-1.253093737
0.78,-1.127960883
0.785,-1.047154087
0.79,-0.959776836
0.795,-0.89662201
0.8,-0.79035715
0.805,-0.6942814
0.81,-0.592311853
0.815,-0.500992329
0.82,-0.426775601
0.825,-0.351637049
0.83,-0.289413855
0.835,-0.205272798
0.84,-0.1176798
0.845,0.001836197
0.85,0.105166515
0.855,0.254727734
0.86,0.366955036
0.865,0.475769625
0.87,0.556164541
0.875,0.684641463
0.88,0.819786907
0.885,1.030384716
0.89,1.264959784
0.895,1.537878853
0.9,1.7848103
0.905,2.008009654
0.91,2.197572199
0.915,2.355263131
0.92,2.478826921
0.925,2.575422423
0.93,2.700653344
0.935,2.822059671
0.94,2.969649753
0.945,3.074188642
0.95,3.162448492
0.955,3.150582446
0.96,3.092723211
0.965,2.922970099
0.97,2.727719698
0.975,2.48500511
0.98,2.278182862
0.985,2.054689308
0.99,1.856398845
0.995,1.62398124
1,1.367439276
1.005,1.064511858
1.01,0.71413006
1.015,0.375663342
1.02,0.074961052
1.025,-0.164830173
1.03,-0.368229901
1.035,-0.44694788
1.04,-0.485615501
1.045,-0.447438213
1.05,-0.424422005
1.055,-0.358011372
1.06,-0.287177939
1.065,-0.134233425
1.07,0.097861541
1.075,0.449389736
1.08,0.858650661
1.085,1.333606334
1.09,1.869539756
1.095,2.323979917
1.1,2.741350941
1.105,2.995441243
1.11,3.225112986
1.115,3.327494412
1.12,3.461355184
1.125,3.452627266
1.13,3.458217056
1.135,3.228251114
1.14,2.832552786
1.145,1.93220425
1.15,0.567206829
1.155,-1.20847348
1.16,-3.039963434
1.165,-4.80947536
1.17,-6.913197918
1.175,-8.55924412
1.18,-9.80665
1.185,-9.652588509
1.19,-9.173336543
1.195,-8.523449848
1.2,-8.379291112
1.205,-8.150502948
1.21,-7.914456883
1.215,-6.859359409
1.22,-5.881832537
1.225,-4.375334964
1.23,-3.407516676
1.235,-2.441071318
1.24,-2.221206225
1.245,-2.063024961
1.25,-1.998791403
1.255,-1.822958169
1.26,-1.599366549
1.265,-1.220829859
1.27,-0.757475453
1.275,-0.246568601
1.28,0.268182458
1.285,0.679394905
1.29,1.030776982
1.295,1.198078431
1.3,1.331939203
1.305,1.327035878
1.31,1.383718315
1.315,1.371067737
1.32,1.474429828
1.325,1.534936858
1.33,1.681350143
1.335,1.725872334
1.34,1.768825461
1.345,1.660854244
1.35,1.505124642
1.355,1.274668367
1.36,1.042250762
1.365,0.847108234
1.37,0.686857766
1.375,0.598676369
1.38,0.530059239
1.385,0.561921045
1.39,0.585633525
1.395,0.702489566
1.4,0.821012738
1.405,1.044212092
1.41,1.256231865
1.415,1.538859518
1.42,1.814132184
1.425,2.141085895
1.43,2.453133498
1.435,2.80077924
1.44,3.138029934
1.445,3.480576218
1.45,3.810962257
1.455,4.114576141
1.46,4.417405493
1.465,4.67777205
1.47,4.948827856
1.475,5.165456755
1.48,5.390323239
1.485,5.565175809
1.49,5.742283908
1.495,5.858590777
1.5,5.995001278
1.505,6.070512483
1.51,6.1392571
1.515,6.159262666
1.52,6.169951914
1.525,6.126704588
1.53,6.071198949
1.535,5.959697338
1.54,5.834074152
1.545,5.643825142
1.55,5.436218361
1.555,5.147020253
1.56,4.830461591
1.565,4.417111293
1.57,3.978557905
1.575,3.443310948
1.58,2.895021147
1.585,2.259157961
1.59,1.630061363
1.595,0.938878864
1.6,0.264269604
1.605,-0.453341816
1.61,-1.1375714
1.615,-1.819721974
1.62,-2.461959483
1.625,-3.069873716
1.63,-3.629637298
1.635,-4.110555414
1.64,-4.54077315
1.645,-4.855566615
1.65,-5.131231546
1.655,-5.271564708
1.66,-5.381497254
1.665,-5.330404608
1.67,-5.255776001
1.675,-5.026398458
1.68,-4.795157651
1.685,-4.425937278
1.69,-4.071426881
1.695,-3.617869318
1.7,-3.198340831
1.705,-2.72428737
1.71,-2.295638699
1.715,-1.869245557
1.72,-1.495612192
1.725,-1.178072865
1.73,-0.916137243
1.735,-0.750463698
1.74,-0.630695081
1.745,-0.630028229
1.75,-0.665861728
1.755,-0.822150309
1.76,-1.001455098
1.765,-1.278002628
1.77,-1.550137166
1.775,-1.895233179
1.78,-2.22610955
1.785,-2.585915539
1.79,-2.915909311
1.795,-3.196869834
1.8,-3.420951786
1.805,-3.60100188
1.81,-3.736431717
1.815,-3.785563033
1.82,-3.788210829
1.825,-3.683475807
1.83,-3.542652313
1.835,-3.317491629
1.84,-3.050358483
1.845,-2.681334243
1.85,-2.282693921
1.855,-1.800893206
1.86,-1.298792726
1.865,-0.74711963
1.87,-0.186708809
1.875,0.384577586
1.88,0.950382065
1.885,1.46511351
1.89,1.919259472
1.895,2.317409462
1.9,2.694082888
1.905,2.996519974
1.91,3.2757153
1.915,3.472730898
1.92,3.641503345
1.925,3.732803256
1.93,3.819886308
1.935,3.836459547
1.94,3.824495434
