2_y,
Time,Acceleration
TIME,ACCEL
0,-0.021575611
0.005,-2.12E-02
0.01,-4.93E-01
0.015,-4.76E-01
0.02,-4.58E-01
0.025,-4.41E-01
0.03,-0.423657087
0.035,-0.407319208
0.04,-0.391756054
0.045,-0.377350085
0.05,-0.364160141
0.055,-0.342918937
0.06,-0.335171684
0.065,-0.329434793
0.07,-0.325776913
0.075,-0.324472629
0.08,-0.325678847
0.085,-0.329336727
0.09,-0.335858149
0.095,-0.344507615
0.1,-0.356236368
0.105,-0.369210566
0.11,-0.385234632
0.115,-0.401033145
0.12,-0.419587327
0.125,-0.436023272
0.13,-0.454646101
0.135,-0.469238396
0.14,-0.485213429
0.145,-0.495834031
0.15,-0.506935158
0.155,-0.500600063
0.16,-0.49454936
0.165,-0.485311495
0.17,-0.475318519
0.175,-0.463638799
0.18,-0.446604648
0.185,-0.430580582
0.19,-0.413997536
0.195,-0.400229
0.2,-0.383057556
0.205,-0.369141919
0.21,-0.355157636
0.215,-0.343124877
0.22,-0.331072504
0.225,-0.318304246
0.23,-0.305467341
0.235,-0.288668549
0.24,-0.271634398
0.245,-0.247912112
0.25,-0.216197406
0.255,-0.182187944
0.26,-0.146658451
0.265,-0.118023033
0.27,-0.090596775
0.275,-0.060297168
0.28,-0.01545528
0.285,0.024890258
0.29,0.065884997
0.295,0.096581773
0.3,0.129428167
0.305,0.103038472
0.31,0.073136044
0.315,0.02371248
0.32,-0.016305517
0.325,-0.055538982
0.33,-0.088636425
0.335,-0.130722645
0.34,-0.117464054
0.345,-0.13137969
0.35,-0.139558436
0.355,-0.144510794
0.36,-0.152679734
0.365,-0.171253529
0.37,-0.1883171
0.375,-0.260386171
0.38,-0.352127382
0.385,-0.336485775
0.39,-0.307909197
0.395,-0.293464001
0.4,-0.305359468
0.405,-0.301789847
0.41,-0.308576049
0.415,-0.342889517
0.42,-0.400591846
0.425,-0.483850304
0.43,-0.601392811
0.435,-0.657369169
0.44,-0.724368202
0.445,-0.766144531
0.45,-0.791504528
0.455,-0.779216796
0.46,-0.759574076
0.465,-0.718945125
0.47,-0.697115522
0.475,-0.590997762
0.48,-0.51410382
0.485,-0.420695478
0.49,-0.398169603
0.495,-0.420509152
0.5,-0.430217736
0.505,-0.407015202
0.51,-0.389686851
0.515,-0.342791451
0.52,-0.267093919
0.525,-0.156778914
0.53,-0.116306869
0.535,-0.06860242
0.54,0.004758775
0.545,0.074497188
0.55,0.149561219
0.555,0.251932839
0.56,0.384861979
0.565,0.471523345
0.57,0.512319009
0.575,0.507268585
0.58,0.45084112
0.585,0.416782625
0.59,0.413232618
0.595,0.467463392
0.6,0.56682437
0.605,0.689799761
0.61,0.883471292
0.615,0.92387469
0.62,0.98488186
0.625,1.027050455
0.63,1.095795071
0.635,1.151398777
0.64,1.231126841
0.645,1.30232312
0.65,1.391661702
0.655,1.46119085
0.66,1.550137166
0.665,1.624373506
0.67,1.724597469
0.675,1.821192972
0.68,1.891114386
0.685,1.976628374
0.69,2.107547152
0.695,2.23817173
0.7,2.364187182
0.705,2.458723288
0.71,2.560908581
0.715,2.621121412
0.72,2.676136719
0.725,2.709087063
0.73,2.763710103
0.735,2.792639721
0.74,2.835494781
0.745,2.858050076
0.75,2.929540555
0.755,2.996716107
0.76,3.03613884
0.765,3.011916415
0.77,2.928363757
0.775,2.933169015
0.78,3.039865367
0.785,3.088212152
0.79,3.080857164
0.795,3.036236907
0.8,2.959450837
0.805,2.868837391
0.81,2.767926963
0.815,2.671135327
0.82,2.585229073
0.825,2.500107351
0.83,2.387919275
0.835,2.282007455
0.84,2.132652176
0.845,1.941422501
0.85,1.71253529
0.855,1.500123251
0.86,1.242600622
0.865,1.032051846
0.87,0.79457401
0.875,0.540915201
0.88,0.22347394
0.885,-0.076492851
0.89,-0.410163136
0.895,-0.697497981
0.9,-1.020774199
0.905,-1.294183601
0.91,-1.579360983
0.915,-1.813739918
0.92,-2.050178249
0.925,-2.260530892
0.93,-2.461959483
0.935,-2.664859071
0.94,-2.842947835
0.945,-3.338772059
0.95,-3.44635101
0.955,-3.575014258
0.96,-3.621988111
0.965,-3.71505322
0.97,-3.736922049
0.975,-3.839107342
0.98,-3.889415457
0.985,-4.037397805
0.99,-4.144094157
0.995,-4.32110419
1,-4.444569913
1.005,-4.59961305
1.01,-4.71699865
1.015,-4.843798635
1.02,-4.985602794
1.025,-5.136331004
1.03,-5.351096639
1.035,-5.550760033
1.04,-5.843586602
1.045,-6.063647828
1.05,-6.374518633
1.055,-6.534268962
1.06,-6.730009696
1.065,-6.693627024
1.07,-6.742660274
1.075,-6.599581251
1.08,-6.585851941
1.085,-6.389620874
1.09,-6.075317742
1.095,-5.402679618
1.1,-4.486738508
1.105,-3.241588158
1.11,-1.767354463
1.115,-0.059746034
1.12,2.529331168
1.125,5.316184965
1.13,7.882193004
1.135,8.517761991
1.14,8.442544985
1.145,8.045571793
1.15,8.282989809
1.155,8.279459415
1.16,8.436170663
1.165,8.395374999
1.17,8.696733353
1.175,8.832556436
1.18,9.027805857
1.185,9.133620591
1.19,9.432232103
1.195,9.57354593
1.2,9.80665
1.205,9.574035281
1.21,9.80665
1.215,9.403988951
1.22,8.71056073
1.225,7.022149799
1.23,5.499275121
1.235,4.199992062
1.24,3.218052198
1.245,2.423321282
1.25,1.562787744
1.255,0.942056219
1.26,0.25309983
1.265,-0.187463921
1.27,-0.702479759
1.275,-0.985764458
1.28,-1.323799684
1.285,-1.475900825
1.29,-1.671151227
1.295,-1.723518738
1.3,-1.803148736
1.305,-1.797068613
1.31,-1.740680375
1.315,-1.604956339
1.32,-1.413824731
1.325,-1.130216413
1.33,-0.828554052
1.335,-0.51571211
1.34,-0.207047801
1.345,-0.026712334
1.35,-0.030800726
1.355,-0.200192953
1.36,-0.396414213
1.365,-0.736891294
1.37,-1.017538004
1.375,-1.356750028
1.38,-1.454424262
1.385,-1.546312572
1.39,-1.553961759
1.395,-1.483451946
1.4,-1.287318946
1.405,-1.210729009
1.41,-1.08853815
1.415,-1.010771416
1.42,-0.964689967
1.425,-1.136688802
1.43,-1.41833579
1.435,-1.687822532
1.44,-1.981433633
1.445,-2.289656642
1.45,-2.572480428
1.455,-2.860795938
1.46,-3.150386313
1.465,-3.408497341
1.47,-3.637384552
1.475,-3.760261876
1.48,-3.886767661
1.485,-3.960023337
1.49,-4.053872977
1.495,-4.155469871
1.5,-4.234119204
1.505,-4.303354153
1.51,-4.382101553
1.515,-4.341992354
1.52,-4.263441088
1.525,-4.130266781
1.53,-4.008272055
1.535,-3.855778647
1.54,-3.7268212
1.545,-3.571974196
1.55,-3.435759828
1.555,-3.347696111
1.56,-3.268066113
1.565,-3.241195892
1.57,-3.273067504
1.575,-3.314549634
1.58,-3.386432378
1.585,-3.452038867
1.59,-3.347794177
1.595,-3.200498294
1.6,-3.061832263
1.605,-2.858344276
1.61,-2.677803849
1.615,-2.379779756
1.62,-2.092248778
1.625,-1.721557408
1.63,-1.350767971
1.635,-0.925355494
1.64,-0.461569596
1.645,0.035649134
1.65,0.5494666
1.655,1.007927487
1.66,1.488159138
1.665,1.850809055
1.67,2.217185499
1.675,2.40488478
1.68,2.623965341
1.685,2.629555131
1.69,2.658484749
1.695,2.472354532
1.7,2.297992295
1.705,1.921220802
1.71,1.515911957
1.715,1.018812869
1.72,0.538159532
1.725,0.048761606
1.73,-0.44935051
1.735,-0.916186276
1.74,-1.426475309
1.745,-1.805110066
1.75,-2.283772652
1.755,-2.547963803
1.76,-2.87168132
1.765,-2.952488116
1.77,-3.066245256
1.775,-2.965629027
1.78,-2.914438314
1.785,-2.741350941
1.79,-2.591505329
1.795,-2.347417811
1.8,-2.136672902
1.805,-1.843356001
1.81,-1.566906537
1.815,-1.2555454
1.82,-0.924639609
1.825,-0.589036432
1.83,-0.176911966
1.835,0.259552606
1.84,0.875733845
1.845,1.443244681
1.85,2.017816304
1.855,2.454408362
1.86,2.896982477
1.865,3.186965117
1.87,3.489108004
1.875,3.663176041
1.88,3.919718005
1.885,4.073584344
1.89,4.242454857
1.895,4.243533588
