$nrb,no,,,,,,
$spc_bottom,7,,,,,,
$lysmer_ro,1427,,,,,,
$lysmer_vs,900,,,,,,
$lysmer_vp,1310,,,,,,
$lys_lcvx,1001,,,,,,
$lys_lcvy,1002,,,,,,
$lys_lcvz,1003,,,,,,
Thickness,mtype,ro,k,g,lcur,sclf,vs
1.1,79,1427.697328,45050849.22,111,1,1,110
1.1,79,1427.697328,45050849.22,111,2,1,110
1.1,79,1427.697328,45050849.22,111,3,1,110
1.1,79,1427.697328,45050849.22,111,4,1,110
1.1,79,1427.697328,45050849.22,111,5,1,110
1.1,79,1427.697328,45050849.22,111,6,1,110
1.1,79,1427.697328,45050849.22,111,7,1,110
1.1,79,1427.697328,45050849.22,111,8,1,110
1.1,79,1427.697328,45050849.22,111,9,1,110
0.55,79,1223.740567,4935753.62,111,10,1,55
0.55,79,1223.740567,4935753.62,111,11,1,55
0.55,79,1223.740567,4935753.62,111,12,1,55
0.55,79,1223.740567,4935753.62,111,13,1,55
0.55,79,1223.740567,4935753.62,111,14,1,55
0.55,79,1223.740567,4935753.62,111,15,1,55
0.55,79,1223.740567,4935753.62,111,16,1,55
0.55,79,1223.740567,4935753.62,111,17,1,55
0.55,79,1223.740567,4935753.62,111,18,1,55
0.55,79,1223.740567,4935753.62,111,19,1,55
0.55,79,1223.740567,4935753.62,111,20,1,55
0.55,79,1223.740567,4935753.62,111,21,1,55
0.55,79,1223.740567,4935753.62,111,22,1,55
0.55,79,1223.740567,4935753.62,111,23,1,55
0.55,79,1223.740567,4935753.62,111,24,1,55
0.55,79,1223.740567,4935753.62,111,25,1,55
0.55,79,1223.740567,4935753.62,111,26,1,55
0.55,79,1223.740567,4935753.62,111,27,1,55
0.55,79,1223.740567,4935753.62,111,28,1,55
0.55,79,1223.740567,4935753.62,111,29,1,55
0.55,79,1223.740567,4935753.62,111,30,1,55
0.55,79,1223.740567,4935753.62,111,31,1,55
0.55,79,1223.740567,4935753.62,111,32,1,55
0.55,79,1223.740567,4935753.62,111,33,1,55
0.55,79,1223.740567,4935753.62,111,34,1,55
0.55,79,1223.740567,4935753.62,111,35,1,55
0.55,79,1223.740567,4935753.62,111,36,1,55
0.55,79,1223.740567,4935753.62,111,37,1,55
0.55,79,1223.740567,4935753.62,111,38,1,55
0.55,79,1223.740567,4935753.62,111,39,1,55
0.55,79,1223.740567,4935753.62,111,40,1,55
0.55,79,1223.740567,4935753.62,111,41,1,55
0.55,79,1223.740567,4935753.62,111,42,1,55
0.55,79,1223.740567,4935753.62,111,43,1,55
0.55,79,1223.740567,4935753.62,111,44,1,55
0.55,79,1223.740567,4935753.62,111,45,1,55
0.55,79,1223.740567,4935753.62,111,46,1,55
0.55,79,1223.740567,4935753.62,111,47,1,55
0.55,79,1223.740567,4935753.62,111,48,1,55
0.55,79,1223.740567,4935753.62,111,49,1,55
0.55,79,1223.740567,4935753.62,111,50,1,55
0.55,79,1223.740567,4935753.62,111,51,1,55
0.55,79,1223.740567,4935753.62,111,52,1,55
0.55,79,1223.740567,4935753.62,111,53,1,55
0.55,79,1223.740567,4935753.62,111,54,1,55
0.59264801,79,1223.740567,10303353.37,111,55,1,79.4648834
0.59264801,79,1223.740567,10303353.37,111,56,1,79.4648834
0.837296844,79,1223.740567,10303353.37,111,57,1,79.4648834
0.837296844,79,1223.740567,10303353.37,111,58,1,79.4648834
0.837296844,79,1223.740567,10303353.37,111,59,1,79.4648834
0.837296844,79,1223.740567,10303353.37,111,60,1,79.4648834
0.837296844,79,1223.740567,37728708.32,111,61,1,152.0624283
0.837296844,79,1223.740567,37728708.32,111,62,1,152.0624283
1.563272294,79,1223.740567,10303353.37,111,63,1,79.4648834
0.837296844,79,1427.697328,232700667.5,111,64,1,250
0.837296844,79,1427.697328,232700667.5,111,65,1,250
2.54264801,79,1427.697328,232700667.5,111,66,1,250
2.54264801,79,1223.740567,37728708.32,111,67,1,152.0624283
1.563272294,79,1223.740567,37728708.32,111,68,1,152.0624283
1.563272294,79,1223.740567,65266163.57,111,69,1,200
1.563272294,79,1223.740567,65266163.57,111,70,1,200
2.04264801,79,1223.740567,65266163.57,111,71,1,200
2.04264801,79,1223.740567,65266163.57,111,72,1,200
2.04264801,79,1223.740567,65266163.57,111,73,1,200
